[ 18:47:46 | command ] git rev-parse --show-toplevel
[ 18:47:46 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 18:47:46 | info ] File "/home/mel/_/__projects/d3_star_wars_app/src/main/view/src/searchbar.jsx" is not a decendant of a git repository
[ 18:48:08 | command ] git rev-parse --show-toplevel
[ 18:48:09 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 18:48:09 | info ] File "/home/mel/_/__projects/d3_star_wars_app/.jshintrc" is not a decendant of a git repository
[ 18:49:52 | command ] git rev-parse --show-toplevel
[ 18:49:52 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 18:49:52 | info ] File "/home/mel/_/__projects/d3_star_wars_app/src/main/view/src/App.jsx" is not a decendant of a git repository
[ 18:50:01 | command ] git rev-parse --show-toplevel
[ 18:50:02 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 18:50:02 | info ] File "/home/mel/_/__projects/d3_star_wars_app/src/main/view/src/main.jsx" is not a decendant of a git repository
[ 18:50:02 | info ] File "/home/mel/_/__projects/d3_star_wars_app/src/main/view/src/main.jsx" is not a decendant of a git repository
[ 18:50:47 | command ] git rev-parse --show-toplevel
[ 18:50:47 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 18:50:47 | info ] File "/home/mel/_/__projects/d3_star_wars_app/src/main/view/src/.jshitrc" is not a decendant of a git repository
[ 18:52:09 | info ] Clearing the file "/home/mel/_/__projects/d3_star_wars_app/.jshintrc" from the internal cache
[ 18:53:52 | info ] Clearing the file "/home/mel/_/__projects/d3_star_wars_app/src/main/view/src/App.jsx" from the internal cache
[ 18:54:02 | info ] Clearing the file "/home/mel/_/__projects/d3_star_wars_app/src/main/view/src/main.jsx" from the internal cache
[ 18:54:47 | info ] Clearing the file "/home/mel/_/__projects/d3_star_wars_app/src/main/view/src/.jshitrc" from the internal cache
[ 19:16:21 | command ] git rev-parse --show-toplevel
[ 19:16:21 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 19:16:21 | info ] File "/home/mel/_/__projects/d3_star_wars_app/src/main/view/src/App.jsx" is not a decendant of a git repository
[ 19:16:21 | info ] File "/home/mel/_/__projects/d3_star_wars_app/src/main/view/src/App.jsx" is not a decendant of a git repository
[ 19:16:23 | command ] git rev-parse --show-toplevel
[ 19:16:23 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 19:16:23 | info ] File "/home/mel/_/__projects/d3_star_wars_app/src/main/view/src/main.jsx" is not a decendant of a git repository
[ 19:16:23 | info ] File "/home/mel/_/__projects/d3_star_wars_app/src/main/view/src/main.jsx" is not a decendant of a git repository
[ 19:18:40 | command ] git rev-parse --show-toplevel
[ 19:18:40 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 19:18:40 | info ] File "/home/mel/_/__projects/d3_star_wars_app/src/main/view/src/index.js" is not a decendant of a git repository
[ 19:18:40 | info ] File "/home/mel/_/__projects/d3_star_wars_app/src/main/view/src/index.js" is not a decendant of a git repository
[ 19:20:21 | info ] Clearing the file "/home/mel/_/__projects/d3_star_wars_app/src/main/view/src/App.jsx" from the internal cache
[ 19:20:40 | command ] git rev-parse --show-toplevel
[ 19:20:40 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 19:20:40 | info ] File "/home/mel/_/__projects/d3_star_wars_app/src/main/view/src/App.jsx" is not a decendant of a git repository
[ 19:20:40 | info ] File "/home/mel/_/__projects/d3_star_wars_app/src/main/view/src/App.jsx" is not a decendant of a git repository
[ 19:20:56 | command ] git rev-parse --show-toplevel
[ 19:20:56 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 19:20:56 | info ] File "/home/mel/_/__projects/d3_star_wars_app/src/main/view/src/searchbar.js" is not a decendant of a git repository
