[ 06:18:01 | command ] git rev-parse --show-toplevel
[ 06:18:02 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 06:18:02 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/src/main/java/com/example/beer/BeerCommandLineRunner.java" is not a decendant of a git repository
[ 06:18:46 | command ] git rev-parse --show-toplevel
[ 06:18:47 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 06:18:47 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/src/main/java/com/example/beer/BeerController.java" is not a decendant of a git repository
[ 06:18:51 | command ] git rev-parse --show-toplevel
[ 06:18:51 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 06:18:51 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/src/main/java/com/example/beer/BeerRepository.java" is not a decendant of a git repository
[ 06:22:47 | info ] Clearing the file "/home/mel/_/__projects/java/spring_react_tutorial/src/main/java/com/example/beer/BeerController.java" from the internal cache
[ 06:27:32 | command ] git rev-parse --show-toplevel
[ 06:27:32 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 06:27:32 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/src/main/java/com/example/beer/BeerController.java" is not a decendant of a git repository
[ 06:27:32 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/src/main/java/com/example/beer/BeerController.java" is not a decendant of a git repository
[ 06:30:51 | info ] Clearing the file "/home/mel/_/__projects/java/spring_react_tutorial/src/main/java/com/example/beer/BeerRepository.java" from the internal cache
[ 06:31:32 | info ] Clearing the file "/home/mel/_/__projects/java/spring_react_tutorial/src/main/java/com/example/beer/BeerController.java" from the internal cache
