[ 22:54:01 | command ] git rev-parse --show-toplevel
[ 22:54:01 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 22:54:01 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/client/src/App.tsx" is not a decendant of a git repository
[ 22:57:39 | command ] git rev-parse --show-toplevel
[ 22:57:39 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 22:57:39 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/src/main/java/com/example/beer/BeerController.java" is not a decendant of a git repository
[ 22:57:43 | command ] git rev-parse --show-toplevel
[ 22:57:43 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 22:57:43 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/src/main/java/com/example/beer/BeerCommandLineRunner.java" is not a decendant of a git repository
[ 22:58:00 | command ] git rev-parse --show-toplevel
[ 22:58:01 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 22:58:01 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/src/main/java/com/example/beer/Beer.java" is not a decendant of a git repository
[ 23:01:39 | info ] Clearing the file "/home/mel/_/__projects/java/spring_react_tutorial/src/main/java/com/example/beer/BeerController.java" from the internal cache
[ 23:01:43 | info ] Clearing the file "/home/mel/_/__projects/java/spring_react_tutorial/src/main/java/com/example/beer/BeerCommandLineRunner.java" from the internal cache
[ 23:07:31 | command ] git rev-parse --show-toplevel
[ 23:07:31 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 23:07:31 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/client/src/index.tsx" is not a decendant of a git repository
[ 23:11:31 | info ] Clearing the file "/home/mel/_/__projects/java/spring_react_tutorial/client/src/index.tsx" from the internal cache
[ 11:05:23 | command ] git rev-parse --show-toplevel
[ 11:05:23 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 11:05:23 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/.vscode/launch.json" is not a decendant of a git repository
[ 11:05:23 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/.vscode/launch.json" is not a decendant of a git repository
[ 11:05:23 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/.vscode/launch.json" is not a decendant of a git repository
[ 11:05:23 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/.vscode/launch.json" is not a decendant of a git repository
[ 11:09:23 | info ] Clearing the file "/home/mel/_/__projects/java/spring_react_tutorial/.vscode/launch.json" from the internal cache
[ 11:13:33 | command ] git rev-parse --show-toplevel
[ 11:13:33 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 11:13:33 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/src/main/java/com/example/beer/BeerCommandLineRunner.java" is not a decendant of a git repository
[ 11:17:21 | info ] Clearing the file "/home/mel/_/__projects/java/spring_react_tutorial/src/main/java/com/example/beer/Beer.java" from the internal cache
[ 11:17:33 | info ] Clearing the file "/home/mel/_/__projects/java/spring_react_tutorial/src/main/java/com/example/beer/BeerCommandLineRunner.java" from the internal cache
