[ 08:36:01 | command ] git rev-parse --show-toplevel
[ 08:36:02 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 08:36:02 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/client/src/GiphyImage.tsx" is not a decendant of a git repository
[ 08:38:57 | command ] git rev-parse --show-toplevel
[ 08:38:57 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 08:38:57 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/client/src/BeerList.tsx" is not a decendant of a git repository
[ 08:39:37 | command ] git rev-parse --show-toplevel
[ 08:39:37 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 08:39:37 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/client/src/App.tsx" is not a decendant of a git repository
[ 08:43:37 | info ] Clearing the file "/home/mel/_/__projects/java/spring_react_tutorial/client/src/App.tsx" from the internal cache
[ 08:44:02 | info ] Clearing the file "/home/mel/_/__projects/java/spring_react_tutorial/client/src/GiphyImage.tsx" from the internal cache
[ 08:48:36 | command ] git rev-parse --show-toplevel
[ 08:48:37 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 08:48:37 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/client/README.md" is not a decendant of a git repository
[ 08:50:08 | command ] git rev-parse --show-toplevel
[ 08:50:08 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 08:50:08 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/src/main/java/com/example/beer/BeerController.java" is not a decendant of a git repository
[ 08:50:57 | info ] Clearing the file "/home/mel/_/__projects/java/spring_react_tutorial/client/src/BeerList.tsx" from the internal cache
[ 09:03:17 | command ] git rev-parse --show-toplevel
[ 09:03:17 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 09:03:17 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/src/main/resources/application.properties" is not a decendant of a git repository
[ 09:04:37 | info ] Clearing the file "/home/mel/_/__projects/java/spring_react_tutorial/client/README.md" from the internal cache
[ 09:04:43 | command ] git rev-parse --show-toplevel
[ 09:04:43 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 09:04:43 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/client/src/App.tsx" is not a decendant of a git repository
[ 09:04:46 | command ] git rev-parse --show-toplevel
[ 09:04:46 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 09:04:46 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/client/src/BeerList.tsx" is not a decendant of a git repository
[ 09:04:46 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/client/src/BeerList.tsx" is not a decendant of a git repository
[ 09:07:17 | info ] Clearing the file "/home/mel/_/__projects/java/spring_react_tutorial/src/main/resources/application.properties" from the internal cache
[ 09:08:43 | info ] Clearing the file "/home/mel/_/__projects/java/spring_react_tutorial/client/src/App.tsx" from the internal cache
