[ 22:25:18 | command ] git rev-parse --show-toplevel
[ 22:25:19 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 22:25:19 | info ] File "/home/mel/_/__projects/java/deserilizerLab/src/main/java/com/example/demo/DemoController.java" is not a decendant of a git repository
[ 22:27:53 | command ] git rev-parse --show-toplevel
[ 22:27:53 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 22:27:53 | info ] File "/home/mel/_/__projects/java/deserilizerLab/src/main/java/com/example/demo/RequestDemo.java" is not a decendant of a git repository
[ 22:28:05 | command ] git rev-parse --show-toplevel
[ 22:28:05 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 22:28:05 | info ] File "/home/mel/_/__projects/java/deserilizerLab/src/main/java/com/example/demo/Hospital.java" is not a decendant of a git repository
[ 22:28:14 | command ] git rev-parse --show-toplevel
[ 22:28:14 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 22:28:14 | info ] File "/home/mel/_/__projects/java/deserilizerLab/src/main/java/com/example/demo/Applicaiton.java" is not a decendant of a git repository
[ 22:29:19 | info ] Clearing the file "/home/mel/_/__projects/java/deserilizerLab/src/main/java/com/example/demo/DemoController.java" from the internal cache
[ 22:31:53 | info ] Clearing the file "/home/mel/_/__projects/java/deserilizerLab/src/main/java/com/example/demo/RequestDemo.java" from the internal cache
[ 22:32:05 | info ] Clearing the file "/home/mel/_/__projects/java/deserilizerLab/src/main/java/com/example/demo/Hospital.java" from the internal cache
[ 22:41:07 | command ] git rev-parse --show-toplevel
[ 22:41:07 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 22:41:07 | info ] File "/home/mel/_/__projects/java/deserilizerLab/src/main/java/com/example/demo/Hospital.java" is not a decendant of a git repository
[ 22:44:14 | info ] Clearing the file "/home/mel/_/__projects/java/deserilizerLab/src/main/java/com/example/demo/Applicaiton.java" from the internal cache
[ 23:13:14 | command ] git rev-parse --show-toplevel
[ 23:13:14 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 23:13:14 | info ] File "/home/mel/_/__projects/java/deserilizerLab/src/main/java/com/example/demo/RequestDemo.java" is not a decendant of a git repository
[ 23:17:07 | info ] Clearing the file "/home/mel/_/__projects/java/deserilizerLab/src/main/java/com/example/demo/Hospital.java" from the internal cache
[ 06:19:37 | command ] git rev-parse --show-toplevel
[ 06:19:37 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 06:19:37 | info ] File "/home/mel/_/__projects/java/deserilizerLab/src/main/java/com/example/demo/RequestDemoRepository" is not a decendant of a git repository
[ 06:19:42 | command ] git rev-parse --show-toplevel
[ 06:19:42 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 06:19:42 | info ] File "/home/mel/_/__projects/java/deserilizerLab/src/main/java/com/example/demo/RequestDemoRepository.java" is not a decendant of a git repository
[ 06:20:34 | info ] Clearing the file "/home/mel/_/__projects/java/deserilizerLab/src/main/java/com/example/demo/RequestDemo.java" from the internal cache
[ 06:23:37 | info ] Clearing the file "/home/mel/_/__projects/java/deserilizerLab/src/main/java/com/example/demo/RequestDemoRepository" from the internal cache
[ 06:30:04 | command ] git rev-parse --show-toplevel
[ 06:30:04 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 06:30:04 | info ] File "/home/mel/_/__projects/java/deserilizerLab/public_html/index.html" is not a decendant of a git repository
[ 06:31:43 | info ] Clearing the file "/home/mel/_/__projects/java/deserilizerLab/src/main/java/com/example/demo/RequestDemoRepository.java" from the internal cache
[ 02:19:35 | command ] git rev-parse --show-toplevel
[ 02:19:35 | error ] Error
[ 02:19:35 | info ] File "/home/mel/_/__projects/java/deserilizerLab/src/main/java/com/example/demo/Applicaiton.java" is not a decendant of a git repository
[ 02:19:35 | info ] File "/home/mel/_/__projects/java/deserilizerLab/src/main/java/com/example/demo/Applicaiton.java" is not a decendant of a git repository
[ 02:20:12 | info ] Clearing the file "/home/mel/_/__projects/java/deserilizerLab/public_html/index.html" from the internal cache
[ 02:23:35 | info ] Clearing the file "/home/mel/_/__projects/java/deserilizerLab/src/main/java/com/example/demo/Applicaiton.java" from the internal cache
