[ 21:27:54 | command ] git rev-parse --show-toplevel
[ 21:27:55 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 21:27:55 | info ] File "/home/mel/_/__projects/d3_star_wars_app/src/main/view/src/Searchbar.jsx" is not a decendant of a git repository
[ 21:28:11 | command ] git rev-parse --show-toplevel
[ 21:28:12 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 21:28:12 | info ] File "/home/mel/_/__projects/d3_star_wars_app/src/main/view/public/index.html" is not a decendant of a git repository
[ 21:28:12 | info ] File "/home/mel/_/__projects/d3_star_wars_app/src/main/view/public/index.html" is not a decendant of a git repository
[ 21:28:17 | command ] git rev-parse --show-toplevel
[ 21:28:17 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 21:28:17 | info ] File "/home/mel/_/__projects/d3_star_wars_app/src/main/view/src/Main.jsx" is not a decendant of a git repository
[ 21:30:20 | command ] git rev-parse --show-toplevel
[ 21:30:20 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 21:30:20 | info ] File "/home/mel/_/__projects/d3_star_wars_app/src/main/view/src/svgComponents/Circle.jsx" is not a decendant of a git repository
[ 21:31:55 | info ] Clearing the file "/home/mel/_/__projects/d3_star_wars_app/src/main/view/src/Searchbar.jsx" from the internal cache
[ 21:32:12 | info ] Clearing the file "/home/mel/_/__projects/d3_star_wars_app/src/main/view/public/index.html" from the internal cache
[ 21:32:17 | info ] Clearing the file "/home/mel/_/__projects/d3_star_wars_app/src/main/view/src/Main.jsx" from the internal cache
