[ 13:11:52 | command ] git rev-parse --show-toplevel
[ 13:11:52 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 13:11:52 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/client/src/App.tsx" is not a decendant of a git repository
[ 13:19:46 | command ] git rev-parse --show-toplevel
[ 13:19:47 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 13:19:47 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/client/src/BeerList.tsx" is not a decendant of a git repository
[ 13:19:52 | info ] Clearing the file "/home/mel/_/__projects/java/spring_react_tutorial/client/src/App.tsx" from the internal cache
[ 13:25:32 | command ] git rev-parse --show-toplevel
[ 13:25:32 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 13:25:32 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/client/src/App.tsx" is not a decendant of a git repository
[ 13:25:32 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/client/src/App.tsx" is not a decendant of a git repository
[ 13:26:33 | command ] git rev-parse --show-toplevel
[ 13:26:33 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 13:26:33 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/client/README.md" is not a decendant of a git repository
[ 13:27:47 | info ] Clearing the file "/home/mel/_/__projects/java/spring_react_tutorial/client/src/BeerList.tsx" from the internal cache
[ 13:27:47 | command ] git rev-parse --show-toplevel
[ 13:27:47 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 13:27:47 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/client/src/BeerList.tsx" is not a decendant of a git repository
[ 13:27:47 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/client/src/BeerList.tsx" is not a decendant of a git repository
[ 13:30:33 | info ] Clearing the file "/home/mel/_/__projects/java/spring_react_tutorial/client/README.md" from the internal cache
[ 13:31:47 | info ] Clearing the file "/home/mel/_/__projects/java/spring_react_tutorial/client/src/BeerList.tsx" from the internal cache
[ 15:49:55 | command ] git rev-parse --show-toplevel
[ 15:49:55 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 15:49:55 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/client/src/BeerList.tsx" is not a decendant of a git repository
[ 15:49:55 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/client/src/BeerList.tsx" is not a decendant of a git repository
[ 15:52:09 | command ] git rev-parse --show-toplevel
[ 15:52:09 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 15:52:09 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/src/main/java/com/example/beer/WhiskeyCommandLineRunner.java" is not a decendant of a git repository
[ 15:52:18 | command ] git rev-parse --show-toplevel
[ 15:52:18 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 15:52:18 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/src/main/java/com/example/beer/Alcohol.java" is not a decendant of a git repository
[ 15:53:56 | info ] Clearing the file "/home/mel/_/__projects/java/spring_react_tutorial/client/src/BeerList.tsx" from the internal cache
[ 15:54:58 | info ] Clearing the file "/home/mel/_/__projects/java/spring_react_tutorial/client/src/App.tsx" from the internal cache
[ 15:55:57 | command ] git rev-parse --show-toplevel
[ 15:55:57 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 15:55:57 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/client/src/App.tsx" is not a decendant of a git repository
[ 15:55:57 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/client/src/App.tsx" is not a decendant of a git repository
[ 15:56:09 | info ] Clearing the file "/home/mel/_/__projects/java/spring_react_tutorial/src/main/java/com/example/beer/WhiskeyCommandLineRunner.java" from the internal cache
[ 15:56:18 | info ] Clearing the file "/home/mel/_/__projects/java/spring_react_tutorial/src/main/java/com/example/beer/Alcohol.java" from the internal cache
[ 15:57:52 | command ] git rev-parse --show-toplevel
[ 15:57:52 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 15:57:52 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/src/main/java/com/example/beer/WhiskeyCommandLineRunner.java" is not a decendant of a git repository
[ 15:57:52 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/src/main/java/com/example/beer/WhiskeyCommandLineRunner.java" is not a decendant of a git repository
[ 15:57:58 | command ] git rev-parse --show-toplevel
[ 15:57:58 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
