[ 19:29:36 | command ] git rev-parse --show-toplevel
[ 19:29:36 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 19:29:36 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/src/main/java/com/example/beer/Beer.java" is not a decendant of a git repository
[ 19:30:06 | command ] git rev-parse --show-toplevel
[ 19:30:06 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 19:30:06 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/client/src/App.tsx" is not a decendant of a git repository
[ 19:30:06 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/client/src/App.tsx" is not a decendant of a git repository
[ 19:45:15 | command ] git rev-parse --show-toplevel
[ 19:45:15 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 19:45:15 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/src/main/java/com/example/beer/BeerController.java" is not a decendant of a git repository
[ 19:45:15 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/src/main/java/com/example/beer/BeerController.java" is not a decendant of a git repository
[ 19:45:36 | info ] Clearing the file "/home/mel/_/__projects/java/spring_react_tutorial/src/main/java/com/example/beer/Beer.java" from the internal cache
[ 19:50:58 | command ] git rev-parse --show-toplevel
[ 19:50:58 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 19:50:58 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/client/src/BeerList.tsx" is not a decendant of a git repository
[ 19:50:58 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/client/src/BeerList.tsx" is not a decendant of a git repository
[ 19:54:06 | info ] Clearing the file "/home/mel/_/__projects/java/spring_react_tutorial/client/src/App.tsx" from the internal cache
[ 20:12:17 | command ] git rev-parse --show-toplevel
[ 20:12:17 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 20:12:17 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/client/src/App.tsx" is not a decendant of a git repository
[ 20:14:58 | info ] Clearing the file "/home/mel/_/__projects/java/spring_react_tutorial/client/src/BeerList.tsx" from the internal cache
[ 02:46:06 | command ] git rev-parse --show-toplevel
[ 02:46:06 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 02:46:06 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/client/src/GiphyImage.tsx" is not a decendant of a git repository
[ 02:48:24 | info ] Clearing the file "/home/mel/_/__projects/java/spring_react_tutorial/client/src/App.tsx" from the internal cache
[ 08:26:50 | command ] git rev-parse --show-toplevel
[ 08:26:50 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 08:26:50 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/client/src/BeerList.tsx" is not a decendant of a git repository
[ 08:26:50 | info ] File "/home/mel/_/__projects/java/spring_react_tutorial/client/src/BeerList.tsx" is not a decendant of a git repository
[ 08:30:50 | info ] Clearing the file "/home/mel/_/__projects/java/spring_react_tutorial/client/src/BeerList.tsx" from the internal cache
